,area,year,item,avg_temp,rainfall_mm,pesticides_tonnes,Fertilizer_Used,Irrigation_Used,Weather_Condition,Soil_Type,yield
0,Afghanistan,1990,Maize,15.45,327.0,1594.5,True,True,Rainy,Peaty,17582
1,Afghanistan,1991,Maize,14.57,327.0,1594.5,False,True,Cloudy,Sandy,16800
2,Afghanistan,1992,Maize,14.35,327.0,1594.5,False,False,Sunny,Sandy,15000
3,Afghanistan,1993,Maize,14.96,327.0,1594.5,False,True,Rainy,Peaty,16786
4,Afghanistan,1994,Maize,14.94,327.0,1594.5,True,True,Sunny,Clay,16667
5,Afghanistan,1995,Maize,15.04,327.0,1594.5,True,True,Rainy,Clay,16563
6,Afghanistan,1996,Maize,14.87,327.0,1594.5,True,False,Rainy,Silt,16364
7,Afghanistan,1997,Maize,14.77,327.0,1594.5,False,True,Sunny,Sandy,15000
8,Afghanistan,1998,Maize,15.14,327.0,1594.5,False,True,Sunny,Sandy,16500
9,Afghanistan,1999,Maize,15.89,327.0,1594.5,False,False,Rainy,Peaty,15000
10,Afghanistan,2000,Maize,15.82,327.0,1594.5,True,False,Sunny,Peaty,11979
11,Afghanistan,2001,Maize,15.85,327.0,1594.5,False,False,Cloudy,Loam,20000
12,Afghanistan,2002,Maize,15.71,327.0,1594.5,False,False,Cloudy,Silt,29800
13,Afghanistan,2003,Maize,15.13,327.0,1594.5,True,True,Sunny,Sandy,8400
14,Afghanistan,2004,Maize,16.13,327.0,1594.5,True,True,Sunny,Sandy,16000
15,Afghanistan,2005,Maize,14.85,327.0,1594.5,True,True,Cloudy,Silt,12069
16,Afghanistan,2006,Maize,15.8,327.0,1594.5,True,False,Cloudy,Peaty,26204
17,Afghanistan,2007,Maize,15.52,327.0,1594.5,False,True,Rainy,Loam,26277
18,Afghanistan,2008,Maize,15.48,327.0,1594.5,True,False,Rainy,Silt,26277
19,Afghanistan,2009,Maize,15.09,327.0,1594.5,True,True,Cloudy,Peaty,21429
20,Afghanistan,2010,Maize,15.68,327.0,1594.5,False,True,Rainy,Peaty,16448
21,Afghanistan,2011,Maize,15.81,327.0,1594.5,True,False,Sunny,Peaty,16400
22,Afghanistan,2012,Maize,14.51,327.0,1594.5,True,False,Rainy,Peaty,21986
23,Afghanistan,2013,Maize,16.21,327.0,1594.5,True,True,Rainy,Peaty,21972
24,Afghanistan,2014,Maize,15.295,327.0,1594.5,True,True,Sunny,Chalky,24882
25,Afghanistan,2015,Maize,15.295,327.0,1594.5,False,True,Cloudy,Chalky,21457
26,Afghanistan,2016,Maize,15.295,327.0,1594.5,True,True,Cloudy,Sandy,20517
27,Afghanistan,1990,Potatoes,15.45,327.0,1594.5,True,True,Sunny,Loam,168421
28,Afghanistan,1991,Potatoes,14.57,327.0,1594.5,True,False,Cloudy,Clay,166418
29,Afghanistan,1992,Potatoes,14.35,327.0,1594.5,False,False,Rainy,Clay,166667
30,Afghanistan,1993,Potatoes,14.96,327.0,1594.5,True,True,Sunny,Chalky,166912
31,Afghanistan,1994,Potatoes,14.94,327.0,1594.5,False,True,Rainy,Clay,165942
32,Afghanistan,1995,Potatoes,15.04,327.0,1594.5,False,False,Sunny,Sandy,166187
33,Afghanistan,1996,Potatoes,14.87,327.0,1594.5,True,False,Rainy,Loam,166429
34,Afghanistan,1997,Potatoes,14.77,327.0,1594.5,True,False,Cloudy,Clay,167857
35,Afghanistan,1998,Potatoes,15.14,327.0,1594.5,True,False,Rainy,Peaty,167857
36,Afghanistan,1999,Potatoes,15.89,327.0,1594.5,False,True,Rainy,Silt,167857
